Type, Latitude, Longitude
T,-7.799653,110.352157
T,-7.799653,110.352157
T,-7.799653,110.352157
T,-7.799648,110.352149
T,-7.799648,110.352149
T,-7.799648,110.352149
T,-7.799645,110.352149
T,-7.799645,110.352149
T,-7.799645,110.352149
T,-7.799643,110.352149
T,-7.799643,110.352149
T,-7.799643,110.352149
T,-7.799642,110.352142
T,-7.799642,110.352142
T,-7.799642,110.352142
T,-7.799641,110.352134
T,-7.799641,110.352134
T,-7.799641,110.352134
T,-7.799640,110.352134
T,-7.799640,110.352134
T,-7.799640,110.352134
T,-7.799640,110.352134
T,-7.799640,110.352134
T,-7.799640,110.352134
T,-7.799639,110.352127
T,-7.799639,110.352127
T,-7.799639,110.352127
T,-7.799639,110.352127
T,-7.799639,110.352127
T,-7.799639,110.352127
T,-7.799639,110.352127
T,-7.799639,110.352127
T,-7.799639,110.352127
T,-7.799640,110.352119
T,-7.799640,110.352119
T,-7.799640,110.352119
T,-7.799640,110.352119
T,-7.799640,110.352119
T,-7.799640,110.352119
T,-7.799639,110.352119
T,-7.799639,110.352119
T,-7.799639,110.352119
T,-7.799634,110.352119
T,-7.799634,110.352119
T,-7.799634,110.352119
T,-7.799630,110.352119
T,-7.799630,110.352119
T,-7.799630,110.352119
T,-7.799627,110.352111
T,-7.799627,110.352111
T,-7.799627,110.352111
T,-7.799625,110.352111
T,-7.799625,110.352111
T,-7.799625,110.352111
T,-7.799624,110.352111
T,-7.799624,110.352111
T,-7.799624,110.352111
T,-7.799623,110.352111
T,-7.799623,110.352111
T,-7.799623,110.352111
T,-7.799624,110.352111
T,-7.799624,110.352111
T,-7.799624,110.352111
T,-7.799623,110.352111
T,-7.799623,110.352111
T,-7.799623,110.352111
T,-7.799626,110.352104
T,-7.799626,110.352104
T,-7.799626,110.352104
T,-7.799625,110.352104
T,-7.799625,110.352104
T,-7.799625,110.352104
T,-7.799625,110.352096
T,-7.799625,110.352096
T,-7.799625,110.352096
T,-7.799627,110.352088
T,-7.799627,110.352088
T,-7.799627,110.352088
T,-7.799626,110.352088
T,-7.799626,110.352088
T,-7.799626,110.352088
T,-7.799625,110.352096
T,-7.799625,110.352096
T,-7.799625,110.352096
T,-7.799633,110.352081
T,-7.799633,110.352081
T,-7.799633,110.352081
T,-7.799635,110.352081
T,-7.799635,110.352081
T,-7.799635,110.352081
T,-7.799635,110.352081
T,-7.799635,110.352096
T,-7.799635,110.352096
T,-7.799635,110.352096
T,-7.799625,110.352096
T,-7.799625,110.352096
T,-7.799625,110.352096
T,-7.799631,110.352081
T,-7.799631,110.352081
T,-7.799631,110.352081
T,-7.799642,110.352081
T,-7.799642,110.352081
T,-7.799642,110.352081
T,-7.799646,110.352081
T,-7.799646,110.352081
T,-7.799646,110.352081
T,-7.799650,110.352096
T,-7.799650,110.352096
T,-7.799650,110.352096
T,-7.799659,110.352081
T,-7.799659,110.352081
T,-7.799659,110.352081
T,-7.799661,110.352088
T,-7.799661,110.352088
T,-7.799661,110.352088
T,-7.799664,110.352104
T,-7.799664,110.352104
T,-7.799664,110.352104
T,-7.799691,110.352088
T,-7.799691,110.352088
T,-7.799691,110.352088
T,-7.799707,110.352081
T,-7.799707,110.352081
T,-7.799707,110.352081
T,-7.799718,110.352073
T,-7.799718,110.352073
T,-7.799718,110.352073
T,-7.799735,110.352050
T,-7.799735,110.352050
T,-7.799735,110.352050
T,-7.799751,110.352050
T,-7.799751,110.352050
T,-7.799751,110.352050
T,-7.799764,110.352058
T,-7.799764,110.352058
T,-7.799764,110.352058
T,-7.799769,110.352066
